nombre,direccion,pueblo,telefono,email,web,rating
Clínica Dental Serafin Cabezas,"C. Matadero, 2, 28341",Valdemoro,+34 918 95 22 43,nan,nan,4.8
Clínica Dental Las Aguas,"C. Lili Álvarez, 1, 28342",Valdemoro,+34 918 65 82 73,nan,nan,4.9
Clínica Dental Valdemoro,"C. Ruiz de Alda, 11, 1°A, 28342",Valdemoro,+34 918 95 48 53,nan,nan,4.9
Clínica Prestigio Dental Valdemoro,"C. Estrella de Elola, 15, 28341",Valdemoro,+34 918 08 23 94,nan,nan,4.8
Clínica Dental Karen Dental Adeslas,"Calle San Vicente de Paul, 28, 28342",Valdemoro,+34 918 95 50 59,nan,nan,4.3
Clínica Médico Dental Albelu,"C. Dalí, 10, 28342",Valdemoro,+34 918 75 22 11,nan,nan,4.3
Caredent Valdemoro,"C. Libertad, 23, 28340",Valdemoro,+34 918 09 25 15,nan,nan,4.8
Clínica Dental Milenium Valdemoro,"Av. de Andalucía, 20, 28341",Valdemoro,+34 918 46 01 50,nan,nan,4.3
Clínica Dental D+D,"C. de las Vacas, 17, 28340",Valdemoro,+34 635 85 05 84,nan,www.dentalvaldemoro.es,nan
Bahia Dental,"C. del Cristo de la Salud, 28, 28342",Valdemoro,+34 918 95 14 41,bahiavaldemoro@gmail.com,www.bahiadentalvaldemoro.com,nan
Innova Dental Valdemoro,nan,Valdemoro,nan,nan,www.clinicadentalvaldemoro.com,nan
Dental Company Valdemoro,nan,Valdemoro,nan,nan,dentalcompany.es/clinica-dental-valdemoro/,nan
Clínica Prestigio Dental Parla,"C. Alfonso X el Sabio, 44, 28982",Parla,+34 916 98 36 87,nan,nan,4.8
Clínica Dental Marta Conde,"C. Isabel II, 24, 28982",Parla,+34 916 05 55 83,nan,nan,4.7
Clínica Dental Adeslas Parla,"C. de las Ciudades, 1, 28982",Parla,+34 900 229 922,nan,nan,4.1
Clínica Dental Milenium Parla,"Calle Real, 51, 28981",Parla,+34 916 05 29 60,nan,nan,3.9
Clínica AC Dental Parla,"Calle Real, 103, 28981",Parla,+34 911 59 11 46,nan,nan,4.2
Clínica Dental Parla (Adeslas),"Calle de Cdad. Real, 2, 28982",Parla,+34 629 81 52 94,nan,nan,4.1
Clínica Dental Fernando III,"C. de Fernando III El Santo, 10, 28982",Parla,+34 916 05 28 22,nan,nan,4.3
